team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,year
Richmond,7.0,12.0,9.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2018
West Coast,14.0,8.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2018
Collingwood,16.0,16.0,14.0,10.0,5.0,10.0,9.0,11.0,10.0,8.0,7.0,6.0,6.0,4.0,2.0,2.0,3.0,3.0,3.0,6.0,5.0,3.0,3.0,,2018
Hawthorn,3.0,4.0,8.0,4.0,7.0,4.0,4.0,5.0,9.0,10.0,10.0,11.0,9.0,9.0,10.0,8.0,10.0,8.0,7.0,5.0,4.0,4.0,4.0,,2018
Melbourne,10.0,6.0,4.0,12.0,14.0,12.0,10.0,6.0,3.0,3.0,3.0,5.0,4.0,6.0,7.0,6.0,6.0,7.0,6.0,4.0,7.0,7.0,5.0,,2018
Sydney,5.0,9.0,7.0,6.0,10.0,7.0,8.0,7.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,9.0,8.0,6.0,5.0,6.0,,2018
Greater Western Sydney,1.0,1.0,2.0,1.0,3.0,3.0,5.0,9.0,11.0,11.0,11.0,9.0,10.0,10.0,6.0,10.0,7.0,6.0,5.0,3.0,3.0,6.0,7.0,,2018
Geelong,9.0,10.0,12.0,8.0,6.0,9.0,6.0,3.0,8.0,6.0,5.0,4.0,5.0,7.0,8.0,7.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,,2018
North Melbourne,15.0,5.0,11.0,7.0,4.0,8.0,7.0,10.0,7.0,5.0,6.0,7.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,,2018
Port Adelaide,2.0,2.0,1.0,5.0,9.0,6.0,11.0,8.0,6.0,9.0,8.0,8.0,7.0,5.0,5.0,4.0,5.0,5.0,4.0,7.0,8.0,9.0,10.0,,2018
