,Taken from: https://afltables.com/afl/seas/ladders/laddersyby.html,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,2018 Ladder Positions (18 teams),,,,,,,,,,,,,,,,,,,,,,,,
1,Team,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,
2,Richmond,7,12.0,9.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3,*West Coast,14,8.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
4,Collingwood,16,16.0,14.0,10.0,5.0,10.0,9.0,11.0,10.0,8.0,7.0,6.0,6.0,4.0,2.0,2.0,3.0,3.0,3.0,6.0,5.0,3.0,3.0,
5,Hawthorn,3,4.0,8.0,4.0,7.0,4.0,4.0,5.0,9.0,10.0,10.0,11.0,9.0,9.0,10.0,8.0,10.0,8.0,7.0,5.0,4.0,4.0,4.0,
6,Melbourne,10,6.0,4.0,12.0,14.0,12.0,10.0,6.0,3.0,3.0,3.0,5.0,4.0,6.0,7.0,6.0,6.0,7.0,6.0,4.0,7.0,7.0,5.0,
7,Sydney,5,9.0,7.0,6.0,10.0,7.0,8.0,7.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,9.0,8.0,6.0,5.0,6.0,
8,Greater Western Sydney,1,1.0,2.0,1.0,3.0,3.0,5.0,9.0,11.0,11.0,11.0,9.0,10.0,10.0,6.0,10.0,7.0,6.0,5.0,3.0,3.0,6.0,7.0,
9,Geelong,9,10.0,12.0,8.0,6.0,9.0,6.0,3.0,8.0,6.0,5.0,4.0,5.0,7.0,8.0,7.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,
10,North Melbourne,15,5.0,11.0,7.0,4.0,8.0,7.0,10.0,7.0,5.0,6.0,7.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,
11,Port Adelaide,2,2.0,1.0,5.0,9.0,6.0,11.0,8.0,6.0,9.0,8.0,8.0,7.0,5.0,5.0,4.0,5.0,5.0,4.0,7.0,8.0,9.0,10.0,
12,Essendon,8,11.0,13.0,11.0,13.0,14.0,15.0,15.0,14.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,
13,Adelaide,11,7.0,3.0,9.0,8.0,5.0,3.0,4.0,4.0,7.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,
14,Western Bulldogs,18,18.0,16.0,15.0,16.0,15.0,14.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,
15,Fremantle,17,14.0,10.0,13.0,11.0,11.0,12.0,12.0,12.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,
